epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,227.883,4.70658,1.1424,1.98748,0.51364,0.95942,0.62022,0.47487,1.99875,1.07282,2.03217,9.14405e-05,9.14405e-05,9.14405e-05
40,233.399,4.55139,1.13248,1.96961,0.51966,0.94963,0.62995,0.48914,1.98332,1.08267,2.00843,9.09984e-05,9.09984e-05,9.09984e-05
41,239.3,4.01222,1.11819,2.00031,0.53825,0.92038,0.6688,0.52811,1.84531,1.0691,1.99409,9.05463e-05,9.05463e-05,9.05463e-05
42,245.163,4.25481,1.12376,1.95725,0.51942,0.94351,0.63866,0.49564,1.85798,1.06599,1.98696,9.00844e-05,9.00844e-05,9.00844e-05
43,250.9,4.07903,1.10819,1.93742,0.51888,0.94208,0.64055,0.50282,1.8083,1.05869,1.975,8.96127e-05,8.96127e-05,8.96127e-05
44,256.705,4.00371,1.11212,1.91641,0.53514,0.91863,0.67371,0.52236,1.81358,1.0557,1.96908,8.91313e-05,8.91313e-05,8.91313e-05
45,262.41,3.9053,1.09747,1.92104,0.53222,0.92964,0.67862,0.53153,1.75765,1.06924,1.94358,8.86404e-05,8.86404e-05,8.86404e-05
46,268.287,3.97094,1.08865,1.88764,0.52967,0.9244,0.6597,0.51942,1.69111,1.05273,1.9234,8.81401e-05,8.81401e-05,8.81401e-05
47,273.919,3.84705,1.08526,1.87156,0.54073,0.90615,0.67218,0.51966,1.74229,1.03579,1.91611,8.76305e-05,8.76305e-05,8.76305e-05
48,279.35,3.59213,1.07304,1.87739,0.57424,0.88133,0.71381,0.56813,1.65925,1.00255,1.8979,8.71117e-05,8.71117e-05,8.71117e-05
49,285,3.53307,1.0731,1.88319,0.56477,0.8861,0.7065,0.54183,1.76932,0.98818,1.90927,8.65839e-05,8.65839e-05,8.65839e-05
50,290.505,3.77824,1.07492,1.84685,0.5707,0.89186,0.72587,0.57308,1.6301,0.95697,1.88005,8.60473e-05,8.60473e-05,8.60473e-05
51,296.238,3.52167,1.05568,1.84653,0.56918,0.90578,0.72038,0.56957,1.61034,0.95317,1.86966,8.55018e-05,8.55018e-05,8.55018e-05
52,301.724,3.36028,1.05039,1.84756,0.64111,0.857,0.78556,0.61916,1.58797,0.93109,1.85408,8.49477e-05,8.49477e-05,8.49477e-05
53,307.424,3.44866,1.04833,1.84013,0.66486,0.84184,0.80872,0.64565,1.55136,0.91745,1.84638,8.43851e-05,8.43851e-05,8.43851e-05
54,313.079,3.34212,1.03732,1.81039,0.65176,0.83949,0.79704,0.6263,1.58046,0.91869,1.84039,8.38141e-05,8.38141e-05,8.38141e-05
55,318.633,3.24809,1.01547,1.83406,0.70496,0.85976,0.84547,0.67312,1.56764,0.85988,1.83295,8.32349e-05,8.32349e-05,8.32349e-05
56,324.379,3.38857,1.02508,1.79551,0.64991,0.88902,0.84748,0.66225,1.57007,0.83425,1.82582,8.26477e-05,8.26477e-05,8.26477e-05
57,329.648,3.22455,0.99435,1.80465,0.67883,0.88019,0.86876,0.6934,1.53029,0.82364,1.81361,8.20525e-05,8.20525e-05,8.20525e-05
58,335.023,3.44243,0.99623,1.77233,0.73349,0.87772,0.89288,0.69876,1.58566,0.80493,1.80748,8.14495e-05,8.14495e-05,8.14495e-05
59,340.674,3.36966,0.97442,1.74701,0.76733,0.85537,0.88445,0.7006,1.53018,0.78477,1.79337,8.08389e-05,8.08389e-05,8.08389e-05
60,346.062,3.07918,0.96618,1.77229,0.79366,0.86573,0.90077,0.71191,1.52579,0.80314,1.78592,8.02208e-05,8.02208e-05,8.02208e-05
61,351.796,3.46384,0.96869,1.73692,0.72099,0.87746,0.89714,0.71476,1.47464,0.80107,1.76934,7.95954e-05,7.95954e-05,7.95954e-05
