epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1161.94,4.74397,1.21119,1.96428,0.55897,0.88537,0.72612,0.53142,2.50128,1.10058,1.99015,9.14405e-05,9.14405e-05,9.14405e-05
40,1188.66,4.80523,1.20602,1.93747,0.59274,0.84453,0.72907,0.53538,2.52077,1.09211,1.98667,9.09984e-05,9.09984e-05,9.09984e-05
41,1215.31,4.32291,1.19494,1.97248,0.5919,0.85064,0.72549,0.53503,2.37324,1.07219,1.96433,9.05463e-05,9.05463e-05,9.05463e-05
42,1242.08,4.64038,1.19384,1.91578,0.60511,0.83765,0.73988,0.56084,2.27932,1.06446,1.9579,9.00844e-05,9.00844e-05,9.00844e-05
43,1268.82,4.36125,1.18093,1.92921,0.63962,0.83054,0.77376,0.57896,2.32072,1.05708,1.95358,8.96127e-05,8.96127e-05,8.96127e-05
44,1295.49,4.2378,1.17473,1.91675,0.64146,0.82178,0.78034,0.5729,2.41753,1.05342,1.95098,8.91313e-05,8.91313e-05,8.91313e-05
45,1322.17,4.14479,1.1734,1.9246,0.64671,0.82276,0.78228,0.58673,2.1871,1.03895,1.92774,8.86404e-05,8.86404e-05,8.86404e-05
46,1348.99,4.3413,1.17094,1.88158,0.66275,0.82764,0.79463,0.597,2.23149,1.037,1.92532,8.81401e-05,8.81401e-05,8.81401e-05
47,1375.76,4.1449,1.15702,1.87801,0.6685,0.82146,0.79784,0.57822,2.41059,1.03705,1.9253,8.76305e-05,8.76305e-05,8.76305e-05
48,1402.56,4.00067,1.14923,1.87321,0.68583,0.81905,0.80895,0.59583,2.28491,1.02192,1.90684,8.71117e-05,8.71117e-05,8.71117e-05
49,1429.26,3.86169,1.14969,1.88649,0.70516,0.82563,0.83287,0.63359,2.16569,1.00501,1.89656,8.65839e-05,8.65839e-05,8.65839e-05
50,1455.94,4.00096,1.14055,1.86734,0.66864,0.85254,0.82552,0.62354,2.15022,0.99863,1.89282,8.60473e-05,8.60473e-05,8.60473e-05
51,1482.63,3.96739,1.13726,1.84814,0.70416,0.84158,0.8429,0.63602,2.1517,0.98947,1.8829,8.55018e-05,8.55018e-05,8.55018e-05
52,1509.33,3.85065,1.13226,1.86376,0.73547,0.84186,0.85597,0.65484,2.00854,0.97699,1.86701,8.49477e-05,8.49477e-05,8.49477e-05
53,1536.06,3.77225,1.11686,1.85828,0.70585,0.84935,0.85301,0.64565,2.0998,0.97725,1.86776,8.43851e-05,8.43851e-05,8.43851e-05
54,1562.69,3.63443,1.11229,1.86338,0.76405,0.84865,0.87583,0.65607,2.19609,0.97306,1.86425,8.38141e-05,8.38141e-05,8.38141e-05
55,1589.3,3.68097,1.11579,1.84301,0.74169,0.83188,0.86688,0.64497,2.15643,0.97029,1.86082,8.32349e-05,8.32349e-05,8.32349e-05
56,1615.95,3.62156,1.09942,1.8418,0.77478,0.86092,0.89527,0.6736,2.13733,0.94957,1.84993,8.26477e-05,8.26477e-05,8.26477e-05
57,1642.67,3.52609,1.09351,1.83136,0.80115,0.86747,0.90248,0.68593,2.01846,0.93005,1.83201,8.20525e-05,8.20525e-05,8.20525e-05
58,1669.37,3.75747,1.10045,1.8006,0.78534,0.8565,0.89555,0.67863,1.99598,0.93195,1.82265,8.14495e-05,8.14495e-05,8.14495e-05
59,1696.01,3.45128,1.07682,1.79801,0.81247,0.86115,0.90802,0.69603,1.90716,0.91533,1.80542,8.08389e-05,8.08389e-05,8.08389e-05
60,1722.74,3.47177,1.07341,1.7873,0.82643,0.87056,0.91689,0.70317,1.9007,0.90222,1.7977,8.02208e-05,8.02208e-05,8.02208e-05
61,1749.51,3.39527,1.0697,1.80042,0.82724,0.86447,0.91587,0.70785,1.87669,0.89684,1.78749,7.95954e-05,7.95954e-05,7.95954e-05
62,1776.32,3.54503,1.05954,1.75577,0.83516,0.874,0.92099,0.70533,1.94054,0.89161,1.7825,7.89628e-05,7.89628e-05,7.89628e-05
63,1802.95,3.2869,1.06766,1.78556,0.83474,0.87665,0.92189,0.71467,1.85507,0.88311,1.774,7.83231e-05,7.83231e-05,7.83231e-05
64,1829.62,3.32343,1.0594,1.76851,0.83234,0.8678,0.91813,0.69454,1.97187,0.88895,1.77417,7.76766e-05,7.76766e-05,7.76766e-05
65,1856.29,3.31664,1.04331,1.7707,0.83345,0.87702,0.92064,0.71563,1.81718,0.87821,1.75771,7.70234e-05,7.70234e-05,7.70234e-05
66,1883.11,3.41937,1.05272,1.73011,0.83464,0.87606,0.92286,0.71316,1.81925,0.87506,1.75037,7.63637e-05,7.63637e-05,7.63637e-05
67,1909.78,3.28374,1.03487,1.7302,0.84193,0.8816,0.92526,0.72326,1.79323,0.86413,1.73847,7.56976e-05,7.56976e-05,7.56976e-05
68,1936.52,3.34167,1.02932,1.72459,0.85984,0.88988,0.93435,0.72632,1.84942,0.85764,1.73974,7.50252e-05,7.50252e-05,7.50252e-05
69,1963.3,3.33095,1.02491,1.72732,0.86625,0.89054,0.93521,0.71986,1.83717,0.84082,1.73496,7.43468e-05,7.43468e-05,7.43468e-05
70,1989.99,3.22258,1.03041,1.71639,0.85749,0.88999,0.93138,0.70623,1.89641,0.85597,1.73149,7.36625e-05,7.36625e-05,7.36625e-05
71,2016.68,3.18038,1.02357,1.72816,0.85889,0.8877,0.93071,0.71454,1.84232,0.84768,1.72378,7.29725e-05,7.29725e-05,7.29725e-05
72,2043.49,3.30588,1.02959,1.69023,0.85141,0.8873,0.92864,0.71378,1.80158,0.85163,1.71175,7.2277e-05,7.2277e-05,7.2277e-05
73,2070.12,3.11479,1.01479,1.7159,0.83884,0.881,0.92814,0.72981,1.68642,0.84156,1.69711,7.15761e-05,7.15761e-05,7.15761e-05
74,2096.79,3.11413,1.01696,1.71427,0.85794,0.88839,0.93714,0.738,1.69348,0.83421,1.69035,7.087e-05,7.087e-05,7.087e-05
75,2123.45,3.13547,1.01945,1.69979,0.87088,0.89303,0.93688,0.72279,1.79559,0.83166,1.6942,7.01588e-05,7.01588e-05,7.01588e-05
76,2150.05,3.23648,1.01197,1.67806,0.87242,0.89405,0.93773,0.73236,1.72712,0.82053,1.68523,6.94428e-05,6.94428e-05,6.94428e-05
77,2176.72,2.9974,1.00215,1.69441,0.87136,0.90163,0.94079,0.7366,1.66796,0.81396,1.67398,6.87222e-05,6.87222e-05,6.87222e-05
78,2203.4,3.20089,1.00105,1.6569,0.86725,0.8885,0.94234,0.74261,1.68273,0.81706,1.67215,6.7997e-05,6.7997e-05,6.7997e-05
79,2230.11,2.97831,0.99417,1.67649,0.86388,0.88511,0.9415,0.74084,1.67683,0.82169,1.66624,6.72675e-05,6.72675e-05,6.72675e-05
80,2256.91,3.16733,1.00061,1.66347,0.87907,0.89848,0.94424,0.73186,1.74359,0.81186,1.66836,6.65339e-05,6.65339e-05,6.65339e-05
81,2283.59,3.13044,0.99499,1.64752,0.88658,0.9022,0.94582,0.73065,1.76939,0.80697,1.66731,6.57963e-05,6.57963e-05,6.57963e-05
82,2310.27,3.03284,0.99061,1.66119,0.84922,0.87933,0.94435,0.73674,1.72042,0.82816,1.65633,6.5055e-05,6.5055e-05,6.5055e-05
83,2336.96,3.16838,0.99169,1.64467,0.82059,0.86725,0.93771,0.73141,1.68043,0.84219,1.64714,6.43101e-05,6.43101e-05,6.43101e-05
84,2363.62,2.99167,0.98154,1.63862,0.83693,0.87722,0.94512,0.74104,1.66411,0.82313,1.64185,6.35617e-05,6.35617e-05,6.35617e-05
85,2390.28,3.03362,0.98479,1.64035,0.86219,0.88806,0.94894,0.74957,1.64195,0.80128,1.63721,6.28101e-05,6.28101e-05,6.28101e-05
86,2417.16,2.97742,0.98801,1.65012,0.87917,0.89262,0.94582,0.74608,1.63394,0.79252,1.62661,6.20555e-05,6.20555e-05,6.20555e-05
87,2443.77,2.92213,0.97445,1.64428,0.83325,0.88407,0.94104,0.73188,1.69333,0.82582,1.62816,6.12981e-05,6.12981e-05,6.12981e-05
88,2470.4,3.02851,0.99038,1.63665,0.84162,0.88914,0.94439,0.74592,1.62631,0.81339,1.62162,6.0538e-05,6.0538e-05,6.0538e-05
89,2497.09,3.01521,0.97391,1.63246,0.87435,0.89395,0.94499,0.7461,1.62765,0.79551,1.61947,5.97754e-05,5.97754e-05,5.97754e-05
90,2523.73,2.94182,0.97317,1.60949,0.83197,0.87342,0.94587,0.74389,1.60552,0.82151,1.61133,5.90105e-05,5.90105e-05,5.90105e-05
91,2550.5,2.97833,0.98025,1.61236,0.8325,0.88919,0.94697,0.74822,1.62294,0.81364,1.6067,5.82435e-05,5.82435e-05,5.82435e-05
92,2577.21,2.92307,0.96068,1.61203,0.85449,0.89134,0.95124,0.7558,1.56692,0.79336,1.60165,5.74746e-05,5.74746e-05,5.74746e-05
93,2603.96,2.92155,0.96955,1.61479,0.83878,0.88552,0.95069,0.7504,1.615,0.8062,1.60531,5.6704e-05,5.6704e-05,5.6704e-05
94,2630.55,2.78084,0.96502,1.6198,0.8402,0.88163,0.9485,0.74455,1.60855,0.80639,1.59893,5.59318e-05,5.59318e-05,5.59318e-05
95,2657.14,2.92391,0.96399,1.60127,0.80513,0.88534,0.9513,0.75096,1.58282,0.82738,1.59387,5.51584e-05,5.51584e-05,5.51584e-05
96,2683.73,2.80689,0.96281,1.60618,0.83138,0.8764,0.94786,0.74521,1.58929,0.80895,1.59157,5.43837e-05,5.43837e-05,5.43837e-05
97,2710.45,2.85668,0.94677,1.58149,0.84017,0.88884,0.9474,0.7519,1.54625,0.79914,1.58028,5.36081e-05,5.36081e-05,5.36081e-05
98,2737.23,3.03984,0.96387,1.57399,0.81942,0.88926,0.94893,0.74648,1.61523,0.81197,1.58652,5.28318e-05,5.28318e-05,5.28318e-05
99,2763.94,2.85617,0.94843,1.57386,0.83739,0.88642,0.94748,0.7455,1.63851,0.80997,1.57675,5.20548e-05,5.20548e-05,5.20548e-05
100,2790.59,2.91696,0.96041,1.57216,0.83968,0.88746,0.94658,0.7543,1.55654,0.79786,1.57087,5.12775e-05,5.12775e-05,5.12775e-05
101,2817.29,2.87424,0.9567,1.57745,0.87391,0.88895,0.95115,0.751,1.58299,0.77779,1.56978,5.05e-05,5.05e-05,5.05e-05
102,2843.99,2.96095,0.95111,1.5533,0.84448,0.88946,0.94977,0.74612,1.60249,0.79603,1.56467,4.97225e-05,4.97225e-05,4.97225e-05
103,2870.64,2.73362,0.96222,1.58368,0.85737,0.89603,0.94888,0.76044,1.4964,0.78119,1.55389,4.89452e-05,4.89452e-05,4.89452e-05
104,2897.41,2.84122,0.94576,1.55049,0.84902,0.88688,0.95097,0.75566,1.56069,0.79153,1.56104,4.81682e-05,4.81682e-05,4.81682e-05
105,2924.08,2.78735,0.95209,1.56738,0.83975,0.88024,0.94946,0.75079,1.58117,0.80189,1.55895,4.73919e-05,4.73919e-05,4.73919e-05
106,2950.69,2.82785,0.93639,1.55657,0.84697,0.88599,0.95206,0.7604,1.51387,0.78875,1.54645,4.66163e-05,4.66163e-05,4.66163e-05
107,2977.37,2.84392,0.94353,1.54845,0.87531,0.89245,0.95275,0.76118,1.50438,0.76265,1.53835,4.58416e-05,4.58416e-05,4.58416e-05
108,3004.13,2.87788,0.94491,1.54636,0.85191,0.8911,0.94914,0.75037,1.57127,0.7891,1.53977,4.50682e-05,4.50682e-05,4.50682e-05
109,3030.88,2.72615,0.94062,1.5489,0.85472,0.89372,0.95006,0.7582,1.51551,0.77334,1.53541,4.4296e-05,4.4296e-05,4.4296e-05
110,3057.51,2.66775,0.92985,1.53524,0.85442,0.89377,0.95053,0.75491,1.54906,0.78078,1.53362,4.35254e-05,4.35254e-05,4.35254e-05
111,3084.26,2.86222,0.94245,1.51936,0.85437,0.88438,0.94927,0.75958,1.47368,0.77976,1.5227,4.27565e-05,4.27565e-05,4.27565e-05
112,3110.86,2.7069,0.93744,1.53366,0.83869,0.88622,0.95104,0.7628,1.47736,0.78957,1.52108,4.19895e-05,4.19895e-05,4.19895e-05
113,3137.62,2.78618,0.92946,1.52809,0.86293,0.88478,0.95156,0.76046,1.49008,0.77119,1.52046,4.12246e-05,4.12246e-05,4.12246e-05
114,3164.3,2.73902,0.93484,1.52349,0.88186,0.8782,0.94981,0.75381,1.55336,0.76571,1.52294,4.0462e-05,4.0462e-05,4.0462e-05
115,3191.04,2.754,0.93043,1.53682,0.84402,0.87882,0.95056,0.75229,1.56217,0.79138,1.52364,3.97019e-05,3.97019e-05,3.97019e-05
116,3217.8,2.7891,0.92773,1.52112,0.84061,0.88389,0.95099,0.75781,1.51175,0.78605,1.51385,3.89445e-05,3.89445e-05,3.89445e-05
117,3244.48,2.72345,0.93258,1.52878,0.81321,0.88476,0.94852,0.75977,1.49409,0.8103,1.50937,3.81899e-05,3.81899e-05,3.81899e-05
118,3271.12,2.7079,0.92895,1.53983,0.80237,0.88427,0.94807,0.76094,1.44959,0.81838,1.5013,3.74383e-05,3.74383e-05,3.74383e-05
119,3297.79,2.64904,0.92893,1.54784,0.8456,0.88657,0.9518,0.76243,1.4867,0.78271,1.50617,3.66899e-05,3.66899e-05,3.66899e-05
120,3324.53,2.73319,0.92105,1.50727,0.83642,0.88869,0.95003,0.75669,1.51012,0.78963,1.5056,3.5945e-05,3.5945e-05,3.5945e-05
121,3351.2,2.74911,0.93174,1.50541,0.84314,0.88752,0.95148,0.7643,1.47821,0.77693,1.50272,3.52037e-05,3.52037e-05,3.52037e-05
122,3377.99,2.73185,0.91827,1.51033,0.86379,0.8956,0.95218,0.76498,1.46841,0.75693,1.49981,3.44661e-05,3.44661e-05,3.44661e-05
123,3404.79,2.7327,0.92644,1.49918,0.80368,0.88531,0.94886,0.74875,1.56976,0.82266,1.50244,3.37325e-05,3.37325e-05,3.37325e-05
124,3431.48,2.69613,0.9228,1.51475,0.81827,0.88811,0.95124,0.76387,1.46093,0.7965,1.49451,3.3003e-05,3.3003e-05,3.3003e-05
125,3458.15,2.60453,0.91896,1.51578,0.8564,0.88932,0.95352,0.76278,1.44937,0.77061,1.48578,3.22778e-05,3.22778e-05,3.22778e-05
