epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,116.342,4.66066,1.0874,0.87794,0.50304,0.95277,0.59337,0.46146,2.66429,1.03648,0.85484,9.14405e-05,9.14405e-05,9.14405e-05
40,119.621,4.63404,1.08928,0.87897,0.51576,0.92391,0.60455,0.4668,2.66858,1.01661,0.85632,9.09984e-05,9.09984e-05,9.09984e-05
41,122.893,4.28421,1.07676,0.88135,0.51916,0.92682,0.61761,0.47968,2.57907,0.98792,0.85347,9.05463e-05,9.05463e-05,9.05463e-05
42,124.949,4.55031,1.08309,0.88002,0.52222,0.91799,0.62741,0.47673,2.65001,0.98591,0.85626,9.00844e-05,9.00844e-05,9.00844e-05
43,126.786,4.44797,1.07407,0.87754,0.5293,0.90706,0.64842,0.48726,2.74979,1.00363,0.85794,8.96127e-05,8.96127e-05,8.96127e-05
44,128.603,4.44493,1.06609,0.87573,0.51429,0.92481,0.65847,0.51537,2.52835,1.05894,0.85213,8.91313e-05,8.91313e-05,8.91313e-05
45,131.658,4.2838,1.05665,0.87707,0.52217,0.91312,0.67521,0.52546,2.50182,1.03578,0.84879,8.86404e-05,8.86404e-05,8.86404e-05
46,134.744,4.43805,1.05107,0.87291,0.57734,0.84048,0.69537,0.5347,2.52537,0.95217,0.84994,8.81401e-05,8.81401e-05,8.81401e-05
47,137.865,4.28123,1.03838,0.87098,0.587,0.85171,0.70689,0.53789,2.5902,0.92649,0.84956,8.76305e-05,8.76305e-05,8.76305e-05
48,140.969,4.24792,1.03933,0.87414,0.61085,0.8374,0.72793,0.56822,2.42119,0.89256,0.84797,8.71117e-05,8.71117e-05,8.71117e-05
49,144.105,4.0763,1.02604,0.87473,0.5712,0.89397,0.73111,0.55492,2.48483,0.89218,0.84915,8.65839e-05,8.65839e-05,8.65839e-05
50,147.265,4.3264,1.0217,0.87145,0.5943,0.8843,0.75551,0.59079,2.36705,0.86102,0.84651,8.60473e-05,8.60473e-05,8.60473e-05
51,150.486,4.1867,1.01224,0.87161,0.62799,0.85854,0.77356,0.59152,2.46858,0.85339,0.84909,8.55018e-05,8.55018e-05,8.55018e-05
52,153.586,3.96116,0.99793,0.87234,0.63816,0.84751,0.7754,0.60455,2.36398,0.84536,0.84543,8.49477e-05,8.49477e-05,8.49477e-05
53,156.613,4.04767,0.98716,0.86991,0.61734,0.87159,0.77833,0.5844,2.56888,0.86668,0.84669,8.43851e-05,8.43851e-05,8.43851e-05
54,159.674,3.89506,0.98266,0.86817,0.68667,0.82667,0.79606,0.61836,2.36799,0.84828,0.84239,8.38141e-05,8.38141e-05,8.38141e-05
55,162.745,3.94568,0.97767,0.87126,0.69316,0.83041,0.8047,0.62052,2.38122,0.8341,0.84398,8.32349e-05,8.32349e-05,8.32349e-05
56,166.009,4.11008,0.98357,0.86944,0.57612,0.90623,0.7696,0.58893,2.42701,0.87895,0.84466,8.26477e-05,8.26477e-05,8.26477e-05
57,169.005,3.90816,0.9762,0.86822,0.697,0.83836,0.81549,0.64145,2.36252,0.84967,0.84055,8.20525e-05,8.20525e-05,8.20525e-05
58,172.091,4.13518,0.97675,0.86569,0.65326,0.85193,0.82019,0.63905,2.36939,0.8966,0.8423,8.14495e-05,8.14495e-05,8.14495e-05
59,175.092,4.11052,0.96467,0.86282,0.71168,0.82117,0.81697,0.62949,2.36727,0.81157,0.84437,8.08389e-05,8.08389e-05,8.08389e-05
60,178.13,3.82508,0.95935,0.86743,0.68563,0.83566,0.81696,0.64023,2.25306,0.80754,0.84123,8.02208e-05,8.02208e-05,8.02208e-05
61,181.247,4.07567,0.95884,0.86397,0.74339,0.83985,0.85325,0.66251,2.30424,0.81106,0.84178,7.95954e-05,7.95954e-05,7.95954e-05
62,184.376,4.04172,0.95401,0.86707,0.6871,0.84915,0.83573,0.66113,2.25686,0.84124,0.84132,7.89628e-05,7.89628e-05,7.89628e-05
