epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,154.563,15.5368,1.64062,2.36728,0.49346,0.82077,0.5889,0.28424,10.1783,1.4551,2.50867,9.09984e-05,9.09984e-05,9.09984e-05
41,158.974,14.4548,1.60328,2.39964,0.52428,0.82248,0.60648,0.29192,9.29167,1.37473,2.47471,9.05463e-05,9.05463e-05,9.05463e-05
42,163.674,14.6827,1.60091,2.35527,0.52625,0.82671,0.61435,0.30331,9.05216,1.37818,2.47461,9.00844e-05,9.00844e-05,9.00844e-05
43,168.379,14.0849,1.56218,2.3529,0.5187,0.83172,0.61401,0.30493,9.52737,1.39977,2.48893,8.96127e-05,8.96127e-05,8.96127e-05
44,173.108,13.5895,1.55356,2.33337,0.52551,0.8471,0.63075,0.3198,8.9,1.40377,2.45709,8.91313e-05,8.91313e-05,8.91313e-05
45,177.794,13.3155,1.53278,2.33783,0.5385,0.83355,0.64646,0.33509,8.48515,1.35968,2.44018,8.86404e-05,8.86404e-05,8.86404e-05
46,182.678,13.1616,1.51073,2.30153,0.56615,0.82922,0.66966,0.34904,7.94633,1.31156,2.43845,8.81401e-05,8.81401e-05,8.81401e-05
47,187.509,12.5401,1.48901,2.30228,0.56139,0.82871,0.67161,0.34693,8.52468,1.32528,2.44801,8.76305e-05,8.76305e-05,8.76305e-05
48,192.039,12.3065,1.48842,2.31478,0.5749,0.82574,0.68213,0.36282,7.863,1.30552,2.41669,8.71117e-05,8.71117e-05,8.71117e-05
49,196.578,11.7067,1.46784,2.30349,0.58863,0.81801,0.69774,0.37024,6.79699,1.27326,2.3945,8.65839e-05,8.65839e-05,8.65839e-05
50,201.095,12.3888,1.48151,2.27028,0.59796,0.81052,0.7034,0.38199,7.47142,1.2532,2.40981,8.60473e-05,8.60473e-05,8.60473e-05
51,205.628,11.7581,1.4512,2.28381,0.59811,0.8232,0.71007,0.38125,7.67299,1.25878,2.41068,8.55018e-05,8.55018e-05,8.55018e-05
52,210.043,11.2057,1.42849,2.29841,0.60119,0.8233,0.71778,0.39176,6.6736,1.24767,2.36801,8.49477e-05,8.49477e-05,8.49477e-05
53,214.569,11.2258,1.444,2.25315,0.60507,0.82729,0.71955,0.3949,6.37067,1.25228,2.35491,8.43851e-05,8.43851e-05,8.43851e-05
