epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,178.6,4.53158,1.14407,2.06519,0.49874,0.9878,0.57313,0.43889,1.99241,1.0634,2.1053,9.14405e-05,9.14405e-05,9.14405e-05
40,183.972,4.45376,1.13899,2.0368,0.49864,0.9877,0.57664,0.43417,2.07065,1.08035,2.09305,9.09984e-05,9.09984e-05,9.09984e-05
41,189.409,3.92163,1.12789,2.07518,0.49626,0.99034,0.58709,0.45699,1.89828,1.07483,2.07302,9.05463e-05,9.05463e-05,9.05463e-05
42,194.883,4.11988,1.12886,2.03763,0.49875,0.98815,0.58489,0.46108,1.88829,1.06818,2.04825,9.00844e-05,9.00844e-05,9.00844e-05
43,200.264,3.98771,1.12655,2.0056,0.49998,0.9868,0.58264,0.45549,1.85731,1.05348,2.03586,8.96127e-05,8.96127e-05,8.96127e-05
44,205.639,3.9215,1.12249,1.98965,0.49837,0.98534,0.58881,0.46198,1.78051,1.05515,2.03662,8.91313e-05,8.91313e-05,8.91313e-05
45,211.12,3.75848,1.11111,1.99889,0.49628,0.98821,0.5876,0.46228,1.73382,1.07372,2.01543,8.86404e-05,8.86404e-05,8.86404e-05
46,216.688,3.84445,1.11057,1.96031,0.50054,0.98672,0.5902,0.46062,1.74391,1.05653,2.01042,8.81401e-05,8.81401e-05,8.81401e-05
47,222.023,3.78461,1.1124,1.94801,0.49984,0.98506,0.59729,0.46316,1.75804,1.05671,1.99794,8.76305e-05,8.76305e-05,8.76305e-05
48,227.634,3.53141,1.09666,1.94859,0.50177,0.98187,0.60439,0.47651,1.6693,1.04472,1.9732,8.71117e-05,8.71117e-05,8.71117e-05
49,233.099,3.47682,1.10043,1.95098,0.49972,0.98138,0.62122,0.47288,1.78012,1.04562,1.98695,8.65839e-05,8.65839e-05,8.65839e-05
50,238.578,3.71747,1.10567,1.91369,0.50208,0.98264,0.62854,0.4969,1.63169,1.0255,1.96177,8.60473e-05,8.60473e-05,8.60473e-05
51,244.198,3.45471,1.08707,1.91543,0.50693,0.97181,0.61539,0.48845,1.63532,1.01962,1.94536,8.55018e-05,8.55018e-05,8.55018e-05
52,249.519,3.24893,1.09089,1.91229,0.50817,0.97116,0.6302,0.49218,1.60324,1.00472,1.9335,8.49477e-05,8.49477e-05,8.49477e-05
53,254.945,3.37389,1.09427,1.90152,0.50562,0.9724,0.63177,0.50531,1.5532,1.03268,1.92033,8.43851e-05,8.43851e-05,8.43851e-05
54,260.566,3.20284,1.08438,1.87854,0.50667,0.96753,0.6262,0.49072,1.56659,1.04807,1.90574,8.38141e-05,8.38141e-05,8.38141e-05
55,266.095,3.2073,1.07896,1.88496,0.50135,0.97342,0.64749,0.51931,1.54177,1.04695,1.89022,8.32349e-05,8.32349e-05,8.32349e-05
56,271.604,3.31144,1.08341,1.85135,0.51462,0.94923,0.66344,0.51275,1.5989,0.99486,1.89704,8.26477e-05,8.26477e-05,8.26477e-05
57,276.788,3.15119,1.07143,1.85794,0.53719,0.92912,0.65656,0.52852,1.49309,0.99725,1.87114,8.20525e-05,8.20525e-05,8.20525e-05
58,282.094,3.38291,1.07907,1.82795,0.51704,0.94996,0.67006,0.52231,1.61969,1.00486,1.87962,8.14495e-05,8.14495e-05,8.14495e-05
59,287.654,3.30787,1.07365,1.79823,0.50717,0.96511,0.6801,0.54344,1.48088,1.00358,1.85575,8.08389e-05,8.08389e-05,8.08389e-05
60,293.022,2.99806,1.06635,1.82186,0.53371,0.92168,0.68948,0.54827,1.53485,1.02807,1.85082,8.02208e-05,8.02208e-05,8.02208e-05
61,298.779,3.36344,1.07423,1.78596,0.54318,0.90123,0.69853,0.56367,1.47041,1.0027,1.83191,7.95954e-05,7.95954e-05,7.95954e-05
62,304.62,3.2461,1.06208,1.79131,0.54862,0.88911,0.70309,0.56441,1.45548,0.97112,1.83182,7.89628e-05,7.89628e-05,7.89628e-05
